date,time,year,month,doy,dow,death,cvd,resp,temp,dptp,rhum,pm10,o3
1987-01-01,1,1987,1,1,5,130,40,15,-5.8,-8.2,80,35.2,12.5
1987-01-02,2,1987,1,2,6,120,38,12,-3.2,-6.8,75,28.7,15.8
1987-01-03,3,1987,1,3,0,135,42,18,-1.5,-4.2,72,31.5,18.2
1987-01-04,4,1987,1,4,1,125,39,14,0.8,-3.1,68,25.4,22.1
1987-01-05,5,1987,1,5,2,140,45,20,2.3,-1.8,65,33.6,19.7
1987-01-06,6,1987,1,6,3,132,41,16,1.5,-2.5,70,29.8,16.3
1987-01-07,7,1987,1,7,4,128,40,15,0.2,-3.8,73,27.2,14.9
1987-01-08,8,1987,1,8,5,145,48,22,3.8,-0.5,62,38.4,25.6
1987-01-09,9,1987,1,9,6,138,44,19,5.2,1.2,58,35.7,28.3
1987-01-10,10,1987,1,10,0,142,46,18,4.7,0.8,60,32.1,24.7
1987-06-15,166,1987,6,166,1,95,25,8,22.5,18.2,75,45.3,38.2
1987-06-16,167,1987,6,167,2,88,22,6,25.8,20.5,68,52.7,45.6
1987-06-17,168,1987,6,168,3,92,24,7,28.2,22.8,65,48.9,52.3
1987-06-18,169,1987,6,169,4,85,21,5,30.5,24.1,62,55.6,58.7
1987-06-19,170,1987,6,170,5,90,23,6,29.8,23.5,64,51.2,55.9
1987-06-20,171,1987,6,171,6,87,22,5,31.2,25.8,58,58.3,62.4
1987-12-25,359,1987,12,359,5,155,55,28,-8.5,-12.8,82,42.6,8.3
1987-12-26,360,1987,12,360,6,162,58,30,-6.2,-10.5,79,46.2,9.7
1987-12-27,361,1987,12,361,0,148,52,25,-4.8,-8.9,76,38.7,11.2
1987-12-28,362,1987,12,362,1,152,54,27,-7.1,-11.6,81,41.5,7.8
1987-12-29,363,1987,12,363,2,158,56,29,-9.3,-13.2,84,44.8,6.5
1987-12-30,364,1987,12,364,3,160,57,31,-10.8,-14.5,86,47.2,5.2
1987-12-31,365,1987,12,365,4,165,59,32,-12.2,-15.8,88,49.6,4.1
1988-07-01,548,1988,7,183,5,82,20,4,28.7,24.3,70,48.5,51.2
1988-07-02,549,1988,7,184,6,79,19,3,31.5,26.8,65,52.8,58.7
1988-07-03,550,1988,7,185,0,84,21,5,33.2,28.1,62,56.3,64.9
1988-07-04,551,1988,7,186,1,77,18,2,35.8,30.5,58,61.7,71.5
1988-07-05,552,1988,7,187,2,81,20,4,34.2,29.8,60,58.9,68.2